                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4826,                 3.2113,                 3.9423,                0.00883,                0.40735,                0.00952,                 0.0031,                 3.2604,                 3.4233,                 4.0652,             0.00065823,             0.00065823,             0.00065823
                      1,                 2.7793,                 2.6264,                 3.1007,                0.24956,                0.24862,                0.15758,                0.05462,                 2.4296,                 3.0732,                 2.9946,              0.0012724,              0.0012724,              0.0012724
                      2,                 2.4796,                 2.3631,                 2.7074,                0.29195,                0.28588,                0.19795,                0.07739,                 2.2165,                 2.4416,                 2.5865,              0.0018338,              0.0018338,              0.0018338
                      3,                  2.263,                 2.1996,                 2.4684,                0.35041,                0.35806,                0.26365,                0.11222,                 2.0985,                 2.4954,                 2.4442,              0.0017624,              0.0017624,              0.0017624
                      4,                 2.1297,                 2.0948,                 2.3371,                0.21668,                0.27178,                 0.1472,                0.05882,                 2.0769,                 2.3749,                 2.4335,              0.0017624,              0.0017624,              0.0017624
                      5,                 2.0131,                 1.9539,                 2.2072,                0.42335,                0.43391,                0.36956,                0.17755,                 1.8894,                 1.8905,                 2.2163,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.9716,                 1.9353,                 2.1436,                0.43248,                0.44058,                 0.3861,                0.19121,                 1.7956,                 2.0572,                 2.1064,               0.001604,               0.001604,               0.001604
                      7,                 1.9016,                 1.8829,                 2.0866,                0.42037,                0.48426,                0.37652,                0.18782,                 1.7722,                 2.0787,                 2.1066,              0.0015248,              0.0015248,              0.0015248
                      8,                  1.883,                 1.8477,                 2.0593,                 0.4499,                0.46198,                0.40207,                0.20023,                 1.7345,                 1.8656,                 2.0869,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.8364,                 1.8099,                 2.0378,                0.39993,                0.46211,                0.35894,                0.18059,                  1.782,                 1.8613,                 2.0737,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.7966,                 1.7836,                 1.9998,                0.41562,                0.46921,                0.37885,                0.18752,                 1.7561,                 1.7807,                 2.0321,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.7917,                 1.7579,                 1.9662,                0.45524,                0.49851,                0.44073,                0.23432,                 1.6515,                 1.7094,                 1.9578,               0.001208,               0.001208,               0.001208
                     12,                 1.7433,                 1.6982,                 1.9348,                0.49005,                0.47998,                0.44994,                0.23771,                  1.655,                 1.6971,                 1.9428,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.7604,                 1.7497,                 1.9321,                0.48486,                0.48074,                0.43701,                0.23244,                 1.7086,                 1.6823,                 1.9707,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.7159,                 1.6652,                 1.8974,                0.49478,                0.51989,                0.47753,                0.25875,                 1.6172,                 1.5946,                 1.9102,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.6751,                 1.6169,                  1.868,                0.50094,                0.49874,                0.47653,                 0.2606,                 1.5845,                 1.5745,                 1.8753,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.7184,                 1.6337,                 1.8785,                0.50873,                0.54154,                 0.5043,                0.27685,                 1.5938,                 1.5199,                 1.8693,               0.000812,               0.000812,               0.000812
                     17,                 1.6753,                 1.5989,                 1.8476,                0.52596,                0.53072,                0.50298,                0.27875,                 1.5707,                 1.5116,                 1.8522,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.6744,                 1.5957,                 1.8596,                0.52801,                0.53348,                0.50725,                 0.2835,                  1.574,                 1.4909,                 1.8503,              0.0006536,              0.0006536,              0.0006536
                     19,                  1.614,                 1.5608,                 1.8245,                0.54247,                0.52925,                0.51886,                0.28888,                 1.5506,                  1.478,                 1.8379,              0.0005744,              0.0005744,              0.0005744
                     20,                  1.645,                 1.5423,                 1.8158,                0.54305,                0.54051,                0.52217,                0.29496,                 1.5225,                 1.4765,                 1.8169,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.5972,                 1.5399,                 1.8096,                0.53412,                0.54658,                0.52148,                0.29395,                 1.5128,                 1.4725,                 1.8025,               0.000416,               0.000416,               0.000416
                     22,                 1.6315,                 1.5175,                 1.7995,                0.55301,                0.56409,                0.54718,                0.30907,                 1.5146,                 1.4123,                 1.8096,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.6185,                 1.5185,                 1.8019,                0.56385,                0.55526,                0.54814,                0.31491,                 1.4877,                 1.4006,                 1.7827,              0.0002576,              0.0002576,              0.0002576
                     24,                  1.563,                 1.4673,                 1.7741,                0.57683,                0.56522,                0.56385,                0.32455,                 1.4899,                 1.3477,                 1.7896,              0.0001784,              0.0001784,              0.0001784
