                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2258,                 2.9866,                 3.7285,                0.03393,                0.04041,                0.01274,                0.00428,                 3.0211,                 3.5166,                 3.8619,             0.00065823,             0.00065823,             0.00065823
                      1,                 2.4646,                 2.3675,                  2.878,                0.24028,                0.26372,                0.12897,                0.04888,                 2.2586,                 3.0274,                 2.8197,              0.0013118,              0.0013118,              0.0013118
                      2,                 2.2486,                  2.199,                 2.5479,                0.25887,                0.24572,                0.16467,                0.06761,                 2.2653,                 2.6268,                 2.7594,              0.0019521,              0.0019521,              0.0019521
                      3,                 2.0979,                 2.0606,                   2.36,                0.36972,                0.40521,                0.29822,                0.13027,                 1.9839,                 2.9273,                 2.4011,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.9847,                 1.9614,                 2.2424,                0.37019,                0.39539,                0.30592,                0.14182,                 1.9496,                 2.2229,                 2.3178,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9105,                 1.8579,                 2.1378,                0.42634,                0.41767,                0.34315,                0.16963,                 1.8332,                 2.1221,                  2.212,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8464,                 1.8202,                   2.06,                0.43283,                0.44864,                0.38345,                0.19782,                 1.7295,                 2.4394,                 2.0884,               0.001901,               0.001901,               0.001901
                      7,                 1.7628,                 1.7445,                 1.9835,                 0.4595,                0.49196,                0.42233,                 0.2277,                 1.6601,                 1.9337,                 2.0212,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7751,                 1.7371,                 1.9818,                0.45935,                0.48414,                0.42051,                0.21497,                 1.6797,                 1.8199,                 2.0337,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7317,                 1.7224,                 1.9525,                0.44384,                0.52501,                0.41957,                0.21487,                 1.6747,                 1.6978,                 2.0107,              0.0018416,              0.0018416,              0.0018416
